host,date,count
www-b4.proxy.aol.com,1995-08-03,1
198.150.176.207,1995-08-03,1
128.149.148.20,1995-08-04,1
u139.n72.queensu.ca,1995-08-04,1
port21.tserver2.ucf.edu,1995-08-05,2
calder.utmb.edu,1995-08-08,1
204.191.209.4,1995-08-09,2
ppp74.cac.psu.edu,1995-08-10,2
dd08-014.compuserve.com,1995-08-15,1
van14405.direct.ca,1995-08-18,3
vyger419.nando.net,1995-08-19,1
alpha2.csd.uwm.edu,1995-08-20,1
neo.yanagi.gifu-u.ac.jp,1995-08-22,1
192.115.181.109,1995-08-22,1
via-annex0-2.cl.msu.edu,1995-08-25,2
205.134.237.149,1995-08-27,7
ix-dc12-24.ix.netcom.com,1995-08-27,1
van14417.direct.ca,1995-08-27,1
coe1_ppp.eng.fsu.edu,1995-07-01,1
dd01-053.compuserve.com,1995-07-02,1
133.95.150.14,1995-07-02,2
charley.slip.db.erau.edu,1995-07-04,6
uav-sparc-10.sed.redstone.army.mil,1995-07-05,1
ftp.rogers.com,1995-07-05,1
unet6.cmact.com,1995-07-06,2
mail.pittstate.edu,1995-07-06,1
tty2-12.tc.nd.edu,1995-07-07,4
drjo015a120.embratel.net.br,1995-07-08,1
202.16.222.11,1995-07-10,1
www-d4.proxy.aol.com,1995-07-17,2
143.91.102.3,1995-07-18,2
168.143.10.74,1995-07-19,1
s109n104.csun.edu,1995-07-19,1
gidepa.aero.org,1995-07-20,2
ip87.los-angeles.ca.interramp.com,1995-07-21,2
198.133.29.18,1995-07-21,4
client-71-42.online.apple.com,1995-07-21,1
bootp-238-235.bootp.virginia.edu,1995-07-24,1
198.252.49.60,1995-08-29,1
n00098-104afc.unity.ncsu.edu,1995-08-29,1
eyewall.met.psu.edu,1995-08-29,1
163.135.16.62,1995-08-30,1
doetzl.tjh.tju.edu,1995-08-30,1
eosdata.gsfc.nasa.gov,1995-08-30,1
sahp315.sandia.gov,1995-08-30,1
204.138.186.26,1995-08-30,1
128.217.61.10,1995-08-31,1
mod144.colmicrosys.com,1995-08-31,3
emuvax.emich.edu,1995-07-26,2
ppp2016.po.iijnet.or.jp,1995-07-26,2
scooter.pa-x.dec.com,1995-07-27,9
128.217.63.38,1995-08-01,2
hidaka.hudk.hokudai.ac.jp,1995-08-03,3
philb.tiac.net,1995-08-03,8
gikai.eng.nhk.or.jp,1995-08-03,1
163.205.156.16,1995-08-04,6
cach03.chm.tu-dresden.de,1995-08-05,1
trt.can.net,1995-08-05,1
client-71-162.online.apple.com,1995-08-05,2
mtp116.mtp.semi.harris.com,1995-08-06,4
www-e1e.gnn.com,1995-08-06,3
dd11-019.compuserve.com,1995-08-07,4
ip2.mountain-inter.net,1995-08-08,1
www-a1.proxy.aol.com,1995-08-08,4
168.99.162.100,1995-08-15,1
147.149.56.41,1995-08-16,1
slip117-25.nc.us.ibm.net,1995-08-16,1
scorcese.infomatch.com,1995-08-20,1
n874797.ksc.nasa.gov,1995-08-21,1
subo7.earthlink.net,1995-08-23,1
163.205.16.104,1995-08-23,3
200f.northmetro.tec.ga.us,1995-08-23,1
email.gmeds.com,1995-08-23,1
n868730.ksc.nasa.gov,1995-08-24,1
van03068.direct.ca,1995-08-24,1
128.159.121.34,1995-08-24,1
n1043379.ksc.nasa.gov,1995-08-25,1
ativan.musical.net,1995-08-26,1
cust5.max4.boston.ma.ms.uu.net,1995-08-26,2
osip22.ionet.net,1995-08-27,2
banjo.nc5.infi.net,1995-08-27,1
dialin33639.slip.nts.uci.edu,1995-08-29,2
wpbfl2-19.gate.net,1995-07-02,1
firefly.prairienet.org,1995-07-02,1
ip-pdx6-52.teleport.com,1995-07-04,1
piweba1y.prodigy.com,1995-07-04,2
204.94.52.237,1995-07-04,2
grail1506.nando.net,1995-07-04,1
h209.s3.wcc.com,1995-07-06,2
sch-host13.dialup.ais.net,1995-07-06,1
hmi.can.net,1995-07-07,1
dd05-017.compuserve.com,1995-07-08,1
ix-la10-03.ix.netcom.com,1995-07-10,1
158.111.129.54,1995-07-10,2
alyssa.prodigy.com,1995-07-12,2
port18.gateway1.ic.net,1995-07-13,2
n1131982.ksc.nasa.gov,1995-07-19,1
firewall.intersolv.com,1995-07-22,1
piweba1y.prodigy.com,1995-07-24,5
it.njit.edu,1995-07-25,3
gwa.ericsson.com,1995-08-29,2
net209.metronet.com,1995-08-29,1
n1144700.ksc.nasa.gov,1995-08-30,1
net91.metronet.com,1995-08-30,2
www-b5.proxy.aol.com,1995-08-30,1
mpdpc01744.nneco.nu.com,1995-08-31,1
dlrl0.xensei.com,1995-07-26,2
ip633.hk.linkage.net,1995-07-27,1
xe-3.shingou.elec.okayama-u.ac.jp,1995-08-04,1
sahp315.sandia.gov,1995-08-07,1
ip155.portland.or.interramp.com,1995-08-08,3
163.205.180.32,1995-08-10,1
130.91.160.215,1995-08-12,2
mac-baker.jpl.nasa.gov,1995-08-14,1
dd05-033.compuserve.com,1995-08-15,1
soltechnt.sel.noaa.gov,1995-08-18,1
ad12-013.compuserve.com,1995-08-21,5
ws215.vironix.co.za,1995-08-23,1
uncle_albert.ksc.nasa.gov,1995-08-24,1
ipdial2.itr.qc.ca,1995-08-24,1
van12344.direct.ca,1995-08-24,2
gatekeeper.mitre.org,1995-08-25,1
ip132.tus.primenet.com,1995-08-26,2
ransell.stmarys.ca,1995-08-26,2
www.toho-u.ac.jp,1995-08-27,1
cad168.cadvision.com,1995-07-01,1
ad03-016.compuserve.com,1995-07-02,4
dialup-67.icon-stl.net,1995-07-02,1
cutlass.ecn.uoknor.edu,1995-07-04,1
163.206.104.43,1995-07-05,1
www-a2.proxy.aol.com,1995-07-06,7
naag.kelton.com,1995-07-06,1
128.159.111.186,1995-07-06,1
ad14-016.compuserve.com,1995-07-07,2
www-b6.proxy.aol.com,1995-07-08,3
ppp4.cpbx.net,1995-07-11,1
halifax-ts1-44.nstn.ca,1995-07-12,2
dialup13.brussels.eunet.be,1995-07-13,1
www-d4.proxy.aol.com,1995-07-15,1
rega.colorado.edu,1995-07-17,1
128.217.61.137,1995-07-18,4
zippy.dny.rockwell.com,1995-07-18,2
128.159.137.41,1995-07-19,18
163.205.23.158,1995-07-21,5
202.241.5.1,1995-07-25,1
pppex1.asahi-net.or.jp,1995-07-25,1
128.158.55.70,1995-07-25,2
gatekeeper.prl.philips.co.uk,1995-07-26,2
wpi.wpi.edu,1995-08-29,1
204.101.212.113,1995-08-31,2
ip197.boston.ma.interramp.com,1995-08-31,3
fmsopc5.gsfc.nasa.gov,1995-08-31,1
germany.pop.psu.edu,1995-08-31,1
jalisco.engr.ucdavis.edu,1995-07-27,2
153.73.3.98,1995-08-01,2
cpq63-rz.uibk.ac.at,1995-08-01,1
142.137.19.1,1995-08-04,1
host-121.hiwaay.net,1995-08-04,2
134.136.229.31,1995-08-06,1
netrixgw.netrix.com,1995-08-06,1
200.9.61.138,1995-08-09,2
srs249.scf.loral.com,1995-08-10,1
hal.jcic.org,1995-08-11,1
169.152.79.3,1995-08-12,1
177.183.med.umich.edu,1995-08-14,1
150.190.52.41,1995-08-21,1
esperance.extern.ucsd.edu,1995-08-21,2
dd22-032.compuserve.com,1995-08-22,2
deskrje.ksc.nasa.gov,1995-08-23,1
hillres151.cc.purdue.edu,1995-08-24,7
ad086.du.pipex.com,1995-08-24,1
hawk.hcsc.com,1995-08-25,1
ts1-ind-19.iquest.net,1995-08-25,2
annex022.ridgecrest.ca.us,1995-08-26,3
ppp114.moscow.com,1995-08-26,2
205.134.237.130,1995-08-27,3
ppp17.cent.com,1995-08-27,3
sch-host03.dialup.ais.net,1995-08-28,1
dns.modena.it,1995-07-01,1
sunday.isltd.insignia.com,1995-07-01,1
erigate.ericsson.se,1995-07-03,1
corpgate.nt.com,1995-07-03,2
montezuma.arc.nasa.gov,1995-07-03,1
hpfcla.fc.hp.com,1995-07-03,1
link086.txdirect.net,1995-07-04,1
gateway.cary.ibm.com,1995-07-05,1
ss1-8.lab.cwu.edu,1995-07-05,1
rogersj.ksc.nasa.gov,1995-07-06,1
143.202.74.27,1995-07-06,1
140.229.111.14,1995-07-06,3
alianza.letts.american.edu,1995-07-07,4
ssc.siemens.com,1995-07-07,1
ddefig.earthlink.net,1995-07-09,2
romulus.ultranet.com,1995-07-09,2
dedwud.zoo.duke.edu,1995-07-11,3
porthos.astro.sp-agency.ca,1995-07-11,1
fiscal-7.tamu.edu,1995-07-12,2
rm44.comm.uiuc.edu,1995-07-13,2
austin-1-5.i-link.net,1995-07-14,1
140.211.47.21,1995-07-17,1
163.205.180.79,1995-07-19,2
jw-test.digital.ufl.edu,1995-07-19,3
134.165.75.183,1995-07-19,1
commonsmac1.gatech.edu,1995-07-19,1
131.115.120.10,1995-07-20,2
ip153.phx.primenet.com,1995-07-20,1
dd14-006.compuserve.com,1995-07-23,1
joe16.slip.yorku.ca,1995-07-25,1
vcarot.agr.upv.es,1995-08-30,5
gate.ps.cae.ntt.jp,1995-08-31,1
www-b3.proxy.aol.com,1995-08-31,1
netd-253-181.beth.mmc.com,1995-08-31,3
piweba3y.prodigy.com,1995-08-31,2
www-relay.pa-x.dec.com,1995-08-01,1
netport-34.iu.net,1995-08-03,2
205.242.53.143,1995-08-06,2
tpafl2-24.gate.net,1995-08-06,1
136.186.85.196,1995-08-07,1
rd-p10.supernet.ab.ca,1995-08-07,1
hed702.uk.sb.com,1995-08-10,1
malin.space.se,1995-08-10,2
192.58.206.21,1995-08-12,1
194.166.8.26,1995-08-13,1
www-b3.proxy.aol.com,1995-08-15,4
192.215.150.56,1995-08-16,3
rcpc.liv.ac.uk,1995-08-17,1
hq_sparcipx.sylvania.com,1995-08-17,1
cliffy.lfwc.lockheed.com,1995-08-17,1
fox.informix.com,1995-08-19,1
slip132-92.dc.us.ibm.net,1995-08-20,1
as.ucsb.edu,1995-08-21,1
ncd.naval.ntua.gr,1995-08-23,3
scordes.jsc.nasa.gov,1995-08-23,1
jill.dra.com,1995-08-23,1
pc81anmsci.anmsci.okstate.edu,1995-08-23,1
van01008.direct.ca,1995-08-25,2
152.20.12.198,1995-08-25,1
aud2.net.org,1995-08-27,1
magick.vnet.net,1995-08-27,1
gatekeeper.es.dupont.com,1995-07-02,1
ppp136.ukonline.co.uk,1995-07-04,2
pc1444.phys-chemie.uni-marburg.de,1995-07-05,2
slip38-5.il.us.ibm.net,1995-07-06,1
gate.ntrs.com,1995-07-06,1
163.205.162.108,1995-07-06,1
200.16.5.88,1995-07-06,1
na1.dow.com,1995-07-07,2
193.132.228.133,1995-07-08,1
205.164.184.7,1995-07-09,3
ccn.cs.dal.ca,1995-07-10,4
www-d2.proxy.aol.com,1995-07-10,2
igate1.hac.com,1995-07-10,1
194.20.105.52,1995-07-10,1
micro1b09.microlab.nova.edu,1995-07-10,2
ix-dc11-05.ix.netcom.com,1995-07-12,2
199.242.69.123,1995-07-14,5
igate.uswest.com,1995-07-14,1
ppp202.awod.com,1995-07-16,2
